,txid,to_account,TOKEN_ID,current_owner,rank,time
9997,0x769659367802e919238cea074fedb843adfd95a14207abfb91df983c125714cb,0xcee66d07e55c7df463f79c90e585e060bcb03d2a,1,0xb25a1d02b029d53212e4c356b6daad419762e606,1,2021-10-04T22:42:53
9996,0xdd10ff910162f43857c0789accf1cb4b1d63deedf2a55039f7051328b477739b,0x3b3bd35a51cebecbd5fbed572685fffa1d70977b,2,0xd09656a2ee7e5ee3404face234e683d3337da014,5187,2021-10-04T23:27:26
9995,0xb0f114314b83da10729424cb2ffcba765e20719785b4df5a51698e9fdf008416,0x82e069dc2be778c16bb18344bddaabba92f22ce8,3,0xd09656a2ee7e5ee3404face234e683d3337da014,9026,2021-10-04T23:27:26
9994,0xa454d818634a96c00d34441ea3aba010cb1a42752809c872b17ef2cf1d7b2297,0xd4e5e6830f946349e971bad67775104f0e6d80dc,4,0xd09656a2ee7e5ee3404face234e683d3337da014,8445,2021-10-04T23:27:44
9984,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,5,0xd09656a2ee7e5ee3404face234e683d3337da014,1293,2021-10-04T23:28:01
9989,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,6,0xd09656a2ee7e5ee3404face234e683d3337da014,1823,2021-10-04T23:28:01
9990,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,7,0xd09656a2ee7e5ee3404face234e683d3337da014,9394,2021-10-04T23:28:01
9986,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,8,0xd09656a2ee7e5ee3404face234e683d3337da014,7822,2021-10-04T23:28:01
9982,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,9,0xd09656a2ee7e5ee3404face234e683d3337da014,8839,2021-10-04T23:28:01
9987,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,10,0xd09656a2ee7e5ee3404face234e683d3337da014,7696,2021-10-04T23:28:01
9993,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,11,0xd09656a2ee7e5ee3404face234e683d3337da014,4652,2021-10-04T23:28:01
9983,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,12,0xd09656a2ee7e5ee3404face234e683d3337da014,7640,2021-10-04T23:28:01
9985,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,13,0xd09656a2ee7e5ee3404face234e683d3337da014,6729,2021-10-04T23:28:01
9981,0x81ecb7b0615c43ed26b83a74a53a352a1810f2bd205ef9b643fff04e9e24e69a,0xb723434062db1f652fe23c306c922d873b63172f,14,0xd5e8a9a3839ba67be8a5ffeacad5aa23acce75bb,7193,2021-10-04T23:28:01
9992,0x73391b05fcc05d7b3ef6de4c1f5e023cf4276f9ac83f55b4c8d6514432b90ef3,0xd64e10dc8b85f21ea73e09a491d0d6782a476ebf,15,0x29b67aa31c6a7488e4d73315c37667d9b33a6bb3,548,2021-10-04T23:28:01
9991,0x47095bf24af0cf982f982a8371323a47a9a647c8f540242e2b0127fbbb6e0277,0xfe7e1085e231949021282ae6914be7b2e7cda45b,16,0xd09656a2ee7e5ee3404face234e683d3337da014,2122,2021-10-04T23:28:01
9988,0x4e6f9bd8cb5900b7fdf92ba46ff93195681db614f5f8d476412b41aa397d0479,0x6c9556aece86a44fe9605de098dc523075792a4f,17,0xd09656a2ee7e5ee3404face234e683d3337da014,3397,2021-10-04T23:28:01
9979,0x63500fba7701130538a17b3e992d476332d9bb9ee83e34b98aa8d4b55af6d11a,0x09eab44014e7dca26a8a446015aee1b7933f88f7,18,0xd09656a2ee7e5ee3404face234e683d3337da014,7987,2021-10-04T23:29:46
9978,0x63500fba7701130538a17b3e992d476332d9bb9ee83e34b98aa8d4b55af6d11a,0x09eab44014e7dca26a8a446015aee1b7933f88f7,19,0xd09656a2ee7e5ee3404face234e683d3337da014,3862,2021-10-04T23:29:46
9980,0xbf86b3e7bee2a8c28a2a2d3fae22f8ec53b11680636e0da6f43f8a0fe0035fd0,0x0431dfe7749dab077393c4d7a083edae02f54419,20,0x78da045905af93e584c86dc882851ea95fbc6576,3571,2021-10-04T23:29:46
9968,0xcbdb6053b24a204566fc5d03935cee9831ea3d30ddc5911457f8ca6f7ac00a5c,0xb723434062db1f652fe23c306c922d873b63172f,21,0xd09656a2ee7e5ee3404face234e683d3337da014,7340,2021-10-04T23:29:54
9957,0xcbdb6053b24a204566fc5d03935cee9831ea3d30ddc5911457f8ca6f7ac00a5c,0xb723434062db1f652fe23c306c922d873b63172f,22,0xd09656a2ee7e5ee3404face234e683d3337da014,3441,2021-10-04T23:29:54
9962,0xcbdb6053b24a204566fc5d03935cee9831ea3d30ddc5911457f8ca6f7ac00a5c,0xb723434062db1f652fe23c306c922d873b63172f,23,0xd09656a2ee7e5ee3404face234e683d3337da014,5802,2021-10-04T23:29:54
9967,0xcbdb6053b24a204566fc5d03935cee9831ea3d30ddc5911457f8ca6f7ac00a5c,0xb723434062db1f652fe23c306c922d873b63172f,24,0xd09656a2ee7e5ee3404face234e683d3337da014,1995,2021-10-04T23:29:54
9953,0xcbdb6053b24a204566fc5d03935cee9831ea3d30ddc5911457f8ca6f7ac00a5c,0xb723434062db1f652fe23c306c922d873b63172f,25,0xd09656a2ee7e5ee3404face234e683d3337da014,7957,2021-10-04T23:29:54
