"","to_account","tokens","sumRank","sumRankFair","avgRank","avgRankFair","medRank","medRankFair","minRank","maxRank"
"1","0xcee66d07e55c7df463f79c90e585e060bcb03d2a",1,1,9705,1,9705,1,9705,1,1
"2","0x3b4568702dad27fa3c239d2000e1846a4c2a66cd",2,7,10262,3.5,5131,3.5,5131,3,4
"3","0x8029abed622f4443a21dfa8a5f3440b729342bf4",3,159,13117,53,4372.33333333333,53,3290,52,54
"4","0x0ad70a3aff30f082d06a3cf9652ae32bfdf7b752",1,56,9234,56,9234,56,9234,56,56
"5","0x239eed7c829e766703e25603e326dbce3b604035",1,65,7126,65,7126,65,7126,65,65
"6","0xb5af12b837aaf602298b3385640f61a0ff0f4e0d",10,841,44157,84.1,4415.7,47.5,3722.5,43,261
"7","0x34cc62a979b2f4a3d757a6527ad6835c6284b6b9",7,603,41343,86.1428571428571,5906.14285714286,90,6840,67,103
"8","0x740cc81b694617b6cd7b7aaa20ff9001a9ae793e",1,87,7692,87,7692,87,7692,87,87
"9","0xeafcb1c8a418c4ce818672fc941e5bc5af42a45a",3,268,18472,89.3333333333333,6157.33333333333,92,8585,72,104
"10","0x784048c3cccea23f94a2618852f1c51fcdc477e7",1,138,9344,138,9344,138,9344,138,138
"11","0x072b4b0810badcc50a4d469b27619ea8b0b8f064",3,420,7583,140,2527.66666666667,132,1323,117,171
"12","0x084d634f80b36fd815effb38092aeb8074c28ebe",1,144,1926,144,1926,144,1926,144,144
"13","0xff8f8dbd75800b144ba763b7bbb001cb35a0f2fa",2,313,14532,156.5,7266,156.5,7266,139,174
"14","0x29d1f02ca1b461ec2ca1df52ea52f26d20cbee17",4,707,14443,176.75,3610.75,172.5,3513,142,220
"15","0xac8b275b9ce0fee06abfb98ef20471a9e9da56c4",5,971,28493,194.2,5698.6,190,5726,57,281
"16","0x3cbeafedadd462f5f4b7765c1c1a1d3f19f3cae0",5,978,13448,195.6,2689.6,192,2261,115,338
"17","0xb2552bccd15ac454a07f88801b345f19c74b89a7",10,1966,67649,196.6,6764.9,161.5,6869.5,106,327
"18","0xf58d15f9913829e1b61e92399dc77b082e6825a1",2,397,9101,198.5,4550.5,198.5,4550.5,145,252
"19","0x9606bf3507dc47f16fb7a3391fa467fdd8c4bf63",10,2017,65128,201.7,6512.8,195.5,7525.5,116,321
"20","0xda1129fba2a7c93b438b389d3fcb382372377e85",2,405,7913,202.5,3956.5,202.5,3956.5,168,237
"21","0x79090e5fa2e64ddb07d55c5a8e5ff854766ed290",4,827,11042,206.75,2760.5,229,2458,66,303
"22","0x36b0353eb123cb1763eb3bb77ea7725307874528",10,2238,50452,223.8,5045.2,209.5,4988.5,141,348
"23","0xecf0b63d25825861ee9bd00e89f31bc2e05c514b",10,2297,47210,229.7,4721,239.5,5065.5,109,345
"24","0x37d8a97ce232c781f9ba760dfc81d9aecb61c87c",10,2345,33121,234.5,3312.1,215.5,3003,123,343
"25","0xaca3aaa88930c86975359e783474cb3e1662d674",2,477,8937,238.5,4468.5,238.5,4468.5,133,344
"26","0xc900bedbeaff5cf46461eed0e4c25f33f5b88f45",3,725,18619,241.666666666667,6206.33333333333,305,7154,108,312
"27","0xdb5c99b6d6525294096412d50e667ff6cec7a746",4,987,26626,246.75,6656.5,249.5,6195.5,135,353
"28","0x13195218ae80db69dab190858fc2b8f3e425cb16",4,989,21736,247.25,5434,263,5132,112,351
"29","0xa7ce0800a7869ce5862f5b2c64dbf749dc457c44",10,2480,42274,248,4227.4,261,4782.5,113,318
"30","0x64c47e2addb64c340ffbd44342d19f5263af1a5d",5,1245,33178,249,6635.6,250,6654,130,350
"31","0xc8c54d0cea1b68fc63acb2ef4be9fe3d5ea30444",10,2516,54251,251.6,5425.1,247,5595.5,167,333
"32","0x311e16701d3536e103aa5b6872b3e0b05d79de42",3,786,13653,262,4551,284,4526,160,342
"33","0xb3c95418ffab63a4a6643e159047283ce500a6fc",2,526,9893,263,4946.5,263,4946.5,238,288
"34","0x7ef4121748730bf53d8f723bc42cc6d27b43a788",3,804,7902,268,2634,283,904,206,315
"35","0xc98712644614c55feef82ea8663099b223c9e451",2,536,2838,268,1419,268,1419,243,293
"36","0x13317023bf6fe079ec1b4f2200e7b0a131be74d4",1,286,2389,286,2389,286,2389,286,286
"37","0x9f4d3d5d136613831960788238248e63f11ff915",1,300,8789,300,8789,300,8789,300,300
"38","0x007fa299af920d7c514f98397169c260a7d91811",3,917,18510,305.666666666667,6170,307,5433,280,330
"39","0x6c017d7c94fa5e4777ee9ae54d29d7e62bae5e6e",2,631,10513,315.5,5256.5,315.5,5256.5,306,325
"40","0xe679f26ee30893420ae179dd63bd11020bc553e5",1,319,5160,319,5160,319,5160,319,319
"41","0x4767d4db19f96fab31e66f6ecd85a4cdc09504bc",1,369,4416,369,4416,369,4416,369,369
"42","0xfaa57bd4d6e620c3f23e918e8f79c9c5df15aa25",1,410,5816,410,5816,410,5816,410,410
"43","0x623b4fb6ff29ea1f8a6d45cc5fe547012ea63a48",1,465,745,465,745,465,745,465,465
"44","0xd64e10dc8b85f21ea73e09a491d0d6782a476ebf",1,548,8484,548,8484,548,8484,548,548
"45","0x9b98ebcf0e42964f67ce321231d5d65be2de099b",1,578,6597,578,6597,578,6597,578,578
"46","0x3af7f85584184f63b533e547e255ae7265ee6a90",1,594,5195,594,5195,594,5195,594,594
"47","0x0fe2c3a019eaccbc2179e11c89eb4ea82fe84922",10,5975,52850,597.5,5285,256.5,5475.5,125,3896
"48","0x11e57e9fd63b649dd42b691337239c072d7365cc",1,606,8819,606,8819,606,8819,606,606
"49","0x226f5c38b09ab68ae80fbcd6f6336d38c3b83941",1,683,2166,683,2166,683,2166,683,683
"50","0xe20cfeebd95b3ab3c6d55d71231f04a4be46bd4a",1,729,152,729,152,729,152,729,729
"51","0x6f14a2b874e48bdbd7c21188b8e61571c6dde18e",2,1578,12609,789,6304.5,789,6304.5,540,1038
"52","0xedea74198803befad9cf17896a28d37a63381c90",3,2393,11540,797.666666666667,3846.66666666667,857,1831,449,1087
"53","0xfc7bc9a79b10990a537d6986ba2db87144301427",1,811,5408,811,5408,811,5408,811,811
"54","0xbf9277d14a0839527998f304e9480d53f9c17543",2,1655,13115,827.5,6557.5,827.5,6557.5,820,835
"55","0x7e5c0a5029e5979f565043a6bcd2eaf19f447858",1,830,462,830,462,830,462,830,830
"56","0x7da42dff5e9ef3b800819b85a745c2ddf6254e85",1,838,1671,838,1671,838,1671,838,838
"57","0x41375a82cf37eea463fbc4518ec423018305f149",1,843,395,843,395,843,395,843,843
